Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0603",77.600000,-121.123000,90.000000,top
"C2","2u2","C_0603",141.500000,-122.350000,90.000000,top
"C3","2u2","C_0603",78.350000,-113.750000,0.000000,top
"C4","2u2","C_0603",111.750000,-109.450000,0.000000,top
"C5","2u2","C_0603",154.550000,-109.450000,0.000000,top
"C6","2u2","C_0603",86.350000,-122.350000,90.000000,top
"C7","2u2","C_0603",96.500000,-122.350000,90.000000,top
"C8","2u2","C_0603",106.713500,-122.350000,90.000000,top
"C9","2u2","C_0603",116.850000,-122.350000,90.000000,top
"C10","2u2","C_0603",129.550000,-122.350000,90.000000,top
"C11","2u2","C_0603",139.700000,-122.350000,90.000000,top
"C12","2u2","C_0603",151.050000,-122.350000,90.000000,top
"C13","2u2","C_0603",160.000000,-122.350000,90.000000,top
"C14","2u2","C_0603",86.600000,-108.700000,90.000000,top
"C15","2u2","C_0603",126.850000,-109.400000,0.000000,top
"FID1","Fiducial","Fiducial",75.946000,-104.267000,0.000000,top
"FID2","Fiducial","Fiducial",75.438000,-123.444000,0.000000,top
"FID3","Fiducial","Fiducial",167.894000,-123.444000,0.000000,top
"FID4","Fiducial","Fiducial",165.354000,-104.267000,0.000000,top
"R1","3k3","R_0805",157.099000,-105.537000,0.000000,top
"SW1","ROM Select","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile",161.290000,-109.855000,270.000000,top
"U1","MX29LV320","TSOP-I-48_18.4x12mm_P0.5mm",99.450000,-109.700000,0.000000,top
"U2","MX29LV320","TSOP-I-48_18.4x12mm_P0.5mm",142.240000,-109.700000,0.000000,top
"U3","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",102.175000,-120.150000,270.000000,top
"U4","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",112.375000,-120.150000,270.000000,top
"U5","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",146.575000,-120.150000,270.000000,top
"U6","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",155.525000,-120.150000,270.000000,top
"U7","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",81.875000,-120.150000,270.000000,top
"U8","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",92.025000,-120.150000,270.000000,top
"U9","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",125.075000,-120.150000,270.000000,top
"U10","74AHC245","TSSOP-20_4.4x6.5mm_P0.65mm",135.225000,-120.150000,270.000000,top
"U11","LD1117S33","SOT-223",80.750000,-109.450000,0.000000,top
